run,n_train,error_rate
1,10,0.15680000000000005
1,20,0.17559999999999998
1,50,0.10360000000000003
1,100,0.041000000000000036
1,200,0.018900000000000028
1,500,0.0041999999999999815
1,1000,0.0019000000000000128
2,10,0.31279999999999997
2,20,0.3065
2,50,0.06689999999999996
2,100,0.042100000000000026
2,200,0.031100000000000017
2,500,0.007900000000000018
2,1000,0.007299999999999973
3,10,0.395
3,20,0.18069999999999997
3,50,0.139
3,100,0.06469999999999998
3,200,0.024399999999999977
3,500,0.008499999999999952
3,1000,0.006099999999999994
4,10,0.20089999999999997
4,20,0.13049999999999995
4,50,0.12060000000000004
4,100,0.05159999999999998
4,200,0.026499999999999968
4,500,0.015100000000000002
4,1000,0.0044999999999999485
5,10,0.37170000000000003
5,20,0.17579999999999996
5,50,0.04700000000000004
5,100,0.06040000000000001
5,200,0.03810000000000002
5,500,0.00990000000000002
5,1000,0.0019000000000000128
6,10,0.2047
6,20,0.16459999999999997
6,50,0.03979999999999995
6,100,0.044499999999999984
6,200,0.021299999999999986
6,500,0.02200000000000002
6,1000,0.005199999999999982
7,10,0.13429999999999997
7,20,0.131
7,50,0.05020000000000002
7,100,0.03180000000000005
7,200,0.01970000000000005
7,500,0.012900000000000023
7,1000,0.06130000000000002
8,10,0.16679999999999995
8,20,0.12970000000000004
8,50,0.09509999999999996
8,100,0.0413
8,200,0.018900000000000028
8,500,0.012800000000000034
8,1000,0.0037000000000000366
9,10,0.133
9,20,0.13790000000000002
9,50,0.11539999999999995
9,100,0.05410000000000004
9,200,0.011099999999999999
9,500,0.014399999999999968
9,1000,0.007399999999999962
10,10,0.31100000000000005
10,20,0.21430000000000005
10,50,0.07820000000000005
10,100,0.04390000000000005
10,200,0.03420000000000001
10,500,0.007199999999999984
10,1000,0.00660000000000005
